tipo,localizacao,endereco,area,quarto,banheiro,vagas_garagem,valor_aluguel,condo,iptu,eh_condo
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,65,2,2,1.0,2300,252.0,0.0,1
Casa,Parque dos Novos Estados,Rua dos Navegantes,80,2,1,2.0,2300,0.0,0.0,0
Casa,São Francisco,Rua Dois de Outubro,89,3,2,2.0,2300,0.0,130.0,0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,53,2,2,1.0,2300,326.0,146.0,1
Apartamento,Monte Castelo,Rua José Alberto Pereira,70,3,2,1.0,2300,500.0,0.0,1
Casa,Loteamento Rancho Alegre II,Rua Flora do Pantanal,100,2,2,1.0,2350,0.0,8.0,0
Apartamento,Centro,Rua Rui Barbosa,66,3,2,1.0,2380,470.0,230.0,1
Apartamento,São Francisco,Rua Quatorze de Julho,70,2,2,1.0,2400,0.0,0.0,0
Casa,Vila Carlota,Rua do Dracma,110,3,2,2.0,2400,0.0,0.0,0
Casa,Centro,Rua das Garças,100,2,1,1.0,2400,0.0,337.0,0
Apartamento,Centro,Rua Rui Barbosa,70,3,2,1.0,2450,468.0,222.0,1
Apartamento,Vivendas do Parque,,55,2,1,1.0,2475,380.0,132.0,1
Apartamento,Monte Castelo,Avenida Rachid Neder,70,2,2,1.0,2500,0.0,0.0,0
Casa,Monte Castelo,Rua Rio de Janeiro,120,3,3,3.0,2500,300.0,100.0,1
Casa,Jardim das Nações,Rua Ary Mattoso,102,2,3,2.0,2500,0.0,105.0,0
Apartamento,Vivendas do Parque,Avenida Doutor Paulo Adolfo Bernard,53,2,1,1.0,2500,280.0,125.0,1
Casa,Chácara Cachoeira,Rua Doutor Michel Scaff,112,2,2,2.0,2500,350.0,289.0,1
Apartamento,São Francisco,Rua Quatorze de Julho,66,3,2,1.0,2500,476.0,271.0,1
Apartamento,Bairro Seminário,Avenida Prefeito Heráclito José Diniz de Figueiredo,45,2,1,1.0,2500,250.0,100.0,1
